Wk,Date,Rk,School,Prev,Chng,1st,Conf
16,Final,1,Georgia (14-1),3,2,61,SEC (East)
16,Final,2,Alabama (13-2),1,1,,SEC (West)
16,Final,3,Michigan (12-2),2,1,,Big Ten (East)
16,Final,4,Cincinnati (13-1),4,,,American
16,Final,5,Baylor (12-2),6,1,,Big 12
16,Final,6,Ohio State (11-2),7,1,,Big Ten (East)
16,Final,7,Oklahoma State (12-2),9,2,,Big 12
16,Final,8,Notre Dame (11-2),5,3,,Ind
16,Final,9,Michigan State (11-2),11,2,,Big Ten (East)
16,Final,10,Oklahoma (11-2),14,4,,Big 12
16,Final,11,Ole Miss (10-3),8,3,,SEC (West)
16,Final,12,Utah (10-4),10,2,,Pac-12 (South)
16,Final,13,Pitt (11-3),13,,,ACC (Coastal)
16,Final,14,Clemson (10-3),19,5,,ACC (Atlantic)
16,Final,15,Wake Forest (11-3),20,5,,ACC (Atlantic)
16,Final,16,Louisiana (13-1),16,,,Sun Belt (West)
16,Final,17,Houston (12-2),21,4,,American
16,Final,18,Kentucky (10-3),25,7,,SEC (East)
16,Final,19,BYU (10-3),12,7,,Ind
16,Final,20,North Carolina State (9-3),18,2,,ACC (Atlantic)
16,Final,21,Arkansas (9-4),22,1,,SEC (West)
16,Final,22,Oregon (10-4),15,7,,Pac-12 (North)
16,Final,23,Iowa (10-4),17,6,,Big Ten (West)
16,Final,24,Utah State (11-3),,,,MWC (Mountain)
16,Final,25,San Diego State (12-2),,,,MWC (West)
15,2021-12-05,1,Alabama (12-1),4,3,50,SEC (West)
15,2021-12-05,2,Michigan (12-1),2,,9,Big Ten (East)
15,2021-12-05,3,Georgia (12-1),1,2,,SEC (East)
15,2021-12-05,4,Cincinnati (13-0),3,1,3,American
15,2021-12-05,5,Notre Dame (11-1),6,1,,Ind
15,2021-12-05,6,Baylor (11-2),9,3,,Big 12
15,2021-12-05,7,Ohio State (10-2),7,,,Big Ten (East)
15,2021-12-05,8,Ole Miss (10-2),8,,,SEC (West)
15,2021-12-05,9,Oklahoma State (11-2),5,4,,Big 12
15,2021-12-05,10,Utah (10-3),14,4,,Pac-12 (South)
15,2021-12-05,11,Michigan State (10-2),11,,,Big Ten (East)
15,2021-12-05,12,BYU (10-2),12,,,Ind
15,2021-12-05,13,Pitt (11-2),17,4,,ACC (Coastal)
15,2021-12-05,14,Oklahoma (10-2),13,1,,Big 12
15,2021-12-05,15,Oregon (10-3),10,5,,Pac-12 (North)
15,2021-12-05,16,Louisiana (12-1),20,4,,Sun Belt (West)
15,2021-12-05,17,Iowa (10-3),15,2,,Big Ten (West)
15,2021-12-05,18,North Carolina State (9-3),21,3,,ACC (Atlantic)
15,2021-12-05,19,Clemson (9-3),22,3,,ACC (Atlantic)
15,2021-12-05,20,Wake Forest (10-3),18,2,,ACC (Atlantic)
15,2021-12-05,21,Houston (11-2),16,5,,American
15,2021-12-05,22,Arkansas (8-4),23,1,,SEC (West)
15,2021-12-05,23,Texas A&M (8-4),24,1,,SEC (West)
15,2021-12-05,24,UTSA (12-1),,,,CUSA (West)
15,2021-12-05,25,Kentucky (9-3),25,,,SEC (East)
14,2021-11-28,1,Georgia (12-0),1,,62,SEC (East)
14,2021-11-28,2,Michigan (11-1),6,4,,Big Ten (East)
14,2021-11-28,3,Cincinnati (12-0),4,1,,American
14,2021-11-28,4,Alabama (11-1),3,1,,SEC (West)
14,2021-11-28,5,Oklahoma State (11-1),7,2,,Big 12
14,2021-11-28,6,Notre Dame (11-1),5,1,,Ind
14,2021-11-28,7,Ohio State (10-2),2,5,,Big Ten (East)
14,2021-11-28,8,Ole Miss (10-2),8,,,SEC (West)
14,2021-11-28,9,Baylor (10-2),9,,,Big 12
14,2021-11-28,10,Oregon (10-2),11,1,,Pac-12 (North)
14,2021-11-28,11,Michigan State (10-2),12,1,,Big Ten (East)
14,2021-11-28,12,BYU (10-2),13,1,,Ind
14,2021-11-28,13,Oklahoma (10-2),10,3,,Big 12
14,2021-11-28,14,Utah (9-3),16,2,,Pac-12 (South)
14,2021-11-28,15,Iowa (10-2),17,2,,Big Ten (West)
14,2021-11-28,16,Houston (11-1),19,3,,American
14,2021-11-28,17,Pitt (10-2),20,3,,ACC (Coastal)
14,2021-11-28,18,Wake Forest (10-2),21,3,,ACC (Atlantic)
14,2021-11-28,19,San Diego State (11-1),22,3,,MWC (West)
14,2021-11-28,20,Louisiana (11-1),23,3,,Sun Belt (West)
14,2021-11-28,21,North Carolina State (9-3),24,3,,ACC (Atlantic)
14,2021-11-28,22,Clemson (9-3),,,,ACC (Atlantic)
14,2021-11-28,23,Arkansas (8-4),25,2,,SEC (West)
14,2021-11-28,24,Texas A&M (8-4),14,10,,SEC (West)
14,2021-11-28,25,Kentucky (9-3),,,,SEC (East)
13,2021-11-21,1,Georgia (11-0),1,,62,SEC (East)
13,2021-11-21,2,Ohio State (10-1),5,3,,Big Ten (East)
13,2021-11-21,3,Alabama (10-1),2,1,,SEC (West)
13,2021-11-21,4,Cincinnati (11-0),3,1,,American
13,2021-11-21,5,Notre Dame (10-1),6,1,,Ind
13,2021-11-21,6,Michigan (10-1),8,2,,Big Ten (East)
13,2021-11-21,7,Oklahoma State (10-1),9,2,,Big 12
13,2021-11-21,8,Ole Miss (9-2),10,2,,SEC (West)
13,2021-11-21,9,Baylor (9-2),11,2,,Big 12
13,2021-11-21,10,Oklahoma (10-1),12,2,,Big 12
13,2021-11-21,11,Oregon (9-2),4,7,,Pac-12 (North)
13,2021-11-21,12,Michigan State (9-2),7,5,,Big Ten (East)
13,2021-11-21,13,BYU (9-2),14,1,,Ind
13,2021-11-21,14,Texas A&M (8-3),16,2,,SEC (West)
13,2021-11-21,15,UTSA (11-0),15,,,CUSA (West)
13,2021-11-21,16,Utah (8-3),24,8,,Pac-12 (South)
13,2021-11-21,17,Iowa (9-2),18,1,,Big Ten (West)
13,2021-11-21,18,Wisconsin (8-3),19,1,,Big Ten (West)
13,2021-11-21,19,Houston (10-1),17,2,,American
13,2021-11-21,20,Pitt (9-2),20,,,ACC (Coastal)
13,2021-11-21,21,Wake Forest (9-2),13,8,,ACC (Atlantic)
13,2021-11-21,22,San Diego State (10-1),23,1,,MWC (West)
13,2021-11-21,23,Louisiana (10-1),22,1,,Sun Belt (West)
13,2021-11-21,24,North Carolina State (8-3),25,1,,ACC (Atlantic)
13,2021-11-21,25,Arkansas (7-4),21,4,,SEC (West)
12,2021-11-14,1,Georgia (10-0),1,,62,SEC (East)
12,2021-11-14,2,Alabama (9-1),3,1,,SEC (West)
12,2021-11-14,3,Cincinnati (10-0),2,1,,American
12,2021-11-14,4,Oregon (9-1),5,1,,Pac-12 (North)
12,2021-11-14,5,Ohio State (9-1),6,1,,Big Ten (East)
12,2021-11-14,6,Notre Dame (9-1),7,1,,Ind
12,2021-11-14,7,Michigan State (9-1),8,1,,Big Ten (East)
12,2021-11-14,8,Michigan (9-1),9,1,,Big Ten (East)
12,2021-11-14,9,Oklahoma State (9-1),10,1,,Big 12
12,2021-11-14,10,Ole Miss (8-2),12,2,,SEC (West)
12,2021-11-14,11,Baylor (8-2),18,7,,Big 12
12,2021-11-14,12,Oklahoma (9-1),4,8,,Big 12
12,2021-11-14,13,Wake Forest (9-1),13,,,ACC (Atlantic)
12,2021-11-14,14,BYU (8-2),14,,,Ind
12,2021-11-14,15,UTSA (10-0),15,,,CUSA (West)
12,2021-11-14,16,Texas A&M (7-3),11,5,,SEC (West)
12,2021-11-14,17,Houston (9-1),17,,,American
12,2021-11-14,18,Iowa (8-2),19,1,,Big Ten (West)
12,2021-11-14,19,Wisconsin (7-3),20,1,,Big Ten (West)
12,2021-11-14,20,Pitt (8-2),25,5,,ACC (Coastal)
12,2021-11-14,21,Arkansas (7-3),,,,SEC (West)
12,2021-11-14,22,Louisiana (9-1),24,2,,Sun Belt (West)
12,2021-11-14,23,San Diego State (9-1),,,,MWC (West)
12,2021-11-14,24,Utah (7-3),,,,Pac-12 (South)
12,2021-11-14,25,North Carolina State (7-3),21,4,,ACC (Atlantic)
11,2021-11-07,1,Georgia (9-0),1,,63,SEC (East)
11,2021-11-07,2,Cincinnati (9-0),2,,,American
11,2021-11-07,3,Alabama (8-1),3,,,SEC (West)
11,2021-11-07,4,Oklahoma (9-0),4,,,Big 12
11,2021-11-07,5,Oregon (8-1),7,2,,Pac-12 (North)
11,2021-11-07,6,Ohio State (8-1),6,,,Big Ten (East)
11,2021-11-07,7,Notre Dame (8-1),8,1,,Ind
11,2021-11-07,8,Michigan State (8-1),5,3,,Big Ten (East)
11,2021-11-07,9,Michigan (8-1),9,,,Big Ten (East)
11,2021-11-07,10,Oklahoma State (8-1),11,1,,Big 12
11,2021-11-07,11,Texas A&M (7-2),13,2,,SEC (West)
11,2021-11-07,12,Ole Miss (7-2),15,3,,SEC (West)
11,2021-11-07,13,Wake Forest (8-1),10,3,,ACC (Atlantic)
11,2021-11-07,14,BYU (8-2),17,3,,Ind
11,2021-11-07,15,UTSA (9-0),16,1,,CUSA (West)
11,2021-11-07,16,Auburn (6-3),12,4,,SEC (West)
11,2021-11-07,17,Houston (8-1),20,3,,American
11,2021-11-07,18,Baylor (7-2),14,4,,Big 12
11,2021-11-07,19,Iowa (7-2),19,,,Big Ten (West)
11,2021-11-07,20,Wisconsin (6-3),,,,Big Ten (West)
11,2021-11-07,21,North Carolina State (7-2),,,,ACC (Atlantic)
11,2021-11-07,22,Coastal Carolina (8-1),21,1,,Sun Belt (East)
11,2021-11-07,23,Penn State (6-3),22,1,,Big Ten (East)
11,2021-11-07,24,Louisiana (8-1),24,,,Sun Belt (West)
11,2021-11-07,25,Pitt (7-2),,,,ACC (Coastal)
10,2021-10-31,1,Georgia (8-0),1,,63,SEC (East)
10,2021-10-31,2,Cincinnati (8-0),2,,,American
10,2021-10-31,3,Alabama (7-1),3,,,SEC (West)
10,2021-10-31,4,Oklahoma (9-0),4,,,Big 12
10,2021-10-31,5,Michigan State (8-0),8,3,,Big Ten (East)
10,2021-10-31,6,Ohio State (7-1),5,1,,Big Ten (East)
10,2021-10-31,7,Oregon (7-1),7,,,Pac-12 (North)
10,2021-10-31,8,Notre Dame (7-1),11,3,,Ind
10,2021-10-31,9,Michigan (7-1),6,3,,Big Ten (East)
10,2021-10-31,10,Wake Forest (8-0),13,3,,ACC (Atlantic)
10,2021-10-31,11,Oklahoma State (7-1),15,4,,Big 12
10,2021-10-31,12,Auburn (6-2),18,6,,SEC (West)
10,2021-10-31,13,Texas A&M (6-2),14,1,,SEC (West)
10,2021-10-31,14,Baylor (7-1),16,2,,Big 12
10,2021-10-31,15,Ole Miss (6-2),10,5,,SEC (West)
10,2021-10-31,16,UTSA (8-0),23,7,,CUSA (West)
10,2021-10-31,17,BYU (7-2),25,8,,Ind
10,2021-10-31,18,Kentucky (6-2),12,6,,SEC (East)
10,2021-10-31,19,Iowa (6-2),9,10,,Big Ten (West)
10,2021-10-31,20,Houston (7-1),,,,American
10,2021-10-31,21,Coastal Carolina (7-1),24,3,,Sun Belt (East)
10,2021-10-31,22,Penn State (5-3),20,2,,Big Ten (East)
10,2021-10-31,23,SMU (7-1),19,4,,American
10,2021-10-31,24,Louisiana (7-1),,,,Sun Belt (West)
10,2021-10-31,25,Fresno State (7-2),,,,MWC (West)
9,2021-10-24,1,Georgia (7-0),1,,63,SEC (East)
9,2021-10-24,2,Cincinnati (7-0),2,,,American
9,2021-10-24,3,Alabama (7-1),4,1,,SEC (West)
9,2021-10-24,4,Oklahoma (8-0),3,1,,Big 12
9,2021-10-24,5,Ohio State (6-1),5,,,Big Ten (East)
9,2021-10-24,6,Michigan (7-0),6,,,Big Ten (East)
9,2021-10-24,7,Oregon (6-1),10,3,,Pac-12 (North)
9,2021-10-24,8,Michigan State (7-0),9,1,,Big Ten (East)
9,2021-10-24,9,Iowa (6-1),11,2,,Big Ten (West)
9,2021-10-24,10,Ole Miss (6-1),12,2,,SEC (West)
9,2021-10-24,11,Notre Dame (6-1),13,2,,Ind
9,2021-10-24,12,Kentucky (6-1),15,3,,SEC (East)
9,2021-10-24,13,Wake Forest (7-0),16,3,,ACC (Atlantic)
9,2021-10-24,14,Texas A&M (6-2),17,3,,SEC (West)
9,2021-10-24,15,Oklahoma State (6-1),8,7,,Big 12
9,2021-10-24,16,Baylor (6-1),20,4,,Big 12
9,2021-10-24,17,Pitt (6-1),23,6,,ACC (Coastal)
9,2021-10-24,18,Auburn (5-2),19,1,,SEC (West)
9,2021-10-24,19,SMU (7-0),21,2,,American
9,2021-10-24,20,Penn State (5-2),7,13,,Big Ten (East)
9,2021-10-24,21,San Diego State (7-0),22,1,,MWC (West)
9,2021-10-24,22,Iowa State (5-2),,,,Big 12
9,2021-10-24,23,UTSA (8-0),24,1,,CUSA (West)
9,2021-10-24,24,Coastal Carolina (6-1),14,10,,Sun Belt (East)
9,2021-10-24,25,BYU (6-2),,,,Ind
8,2021-10-17,1,Georgia (7-0),1,,63,SEC (East)
8,2021-10-17,2,Cincinnati (6-0),3,1,,American
8,2021-10-17,3,Oklahoma (7-0),4,1,,Big 12
8,2021-10-17,4,Alabama (6-1),5,1,,SEC (West)
8,2021-10-17,5,Ohio State (5-1),6,1,,Big Ten (East)
8,2021-10-17,6,Michigan (6-0),8,2,,Big Ten (East)
8,2021-10-17,7,Penn State (5-1),7,,,Big Ten (East)
8,2021-10-17,8,Oklahoma State (6-0),12,4,,Big 12
8,2021-10-17,9,Michigan State (7-0),10,1,,Big Ten (East)
8,2021-10-17,10,Oregon (5-1),9,1,,Pac-12 (North)
8,2021-10-17,11,Iowa (6-1),2,9,,Big Ten (West)
8,2021-10-17,12,Ole Miss (5-1),13,1,,SEC (West)
8,2021-10-17,13,Notre Dame (5-1),14,1,,Ind
8,2021-10-17,14,Coastal Carolina (6-0),15,1,,Sun Belt (East)
8,2021-10-17,15,Kentucky (6-1),11,4,,SEC (East)
8,2021-10-17,16,Wake Forest (6-0),16,,,ACC (Atlantic)
8,2021-10-17,17,Texas A&M (5-2),21,4,,SEC (West)
8,2021-10-17,18,North Carolina State (5-1),22,4,,ACC (Atlantic)
8,2021-10-17,19,Auburn (5-2),,,,SEC (West)
8,2021-10-17,20,Baylor (6-1),,,,Big 12
8,2021-10-17,21,SMU (6-0),23,2,,American
8,2021-10-17,22,San Diego State (6-0),24,2,,MWC (West)
8,2021-10-17,23,Pitt (5-1),,,,ACC (Coastal)
8,2021-10-17,24,UTSA (7-0),,,,CUSA (West)
8,2021-10-17,25,Purdue (4-2),,,,Big Ten (West)
7,2021-10-10,1,Georgia (6-0),2,1,62,SEC (East)
7,2021-10-10,2,Iowa (6-0),3,1,,Big Ten (West)
7,2021-10-10,3,Cincinnati (5-0),5,2,,American
7,2021-10-10,4,Oklahoma (6-0),6,2,,Big 12
7,2021-10-10,5,Alabama (5-1),1,4,,SEC (West)
7,2021-10-10,6,Ohio State (5-1),7,1,,Big Ten (East)
7,2021-10-10,7,Penn State (5-1),4,3,,Big Ten (East)
7,2021-10-10,8,Michigan (6-0),9,1,,Big Ten (East)
7,2021-10-10,9,Oregon (4-1),8,1,,Pac-12 (North)
7,2021-10-10,10,Michigan State (6-0),11,1,,Big Ten (East)
7,2021-10-10,11,Kentucky (6-0),16,5,,SEC (East)
7,2021-10-10,12,Oklahoma State (5-0),12,,,Big 12
7,2021-10-10,13,Ole Miss (4-1),17,4,,SEC (West)
7,2021-10-10,14,Notre Dame (5-1),14,,,Ind
7,2021-10-10,15,Coastal Carolina (6-0),15,,,Sun Belt (East)
7,2021-10-10,16,Wake Forest (6-0),19,3,,ACC (Atlantic)
7,2021-10-10,17,Arkansas (4-2),13,4,,SEC (West)
7,2021-10-10,18,Arizona State (5-1),22,4,,Pac-12 (South)
7,2021-10-10,19,BYU (5-1),10,9,,Ind
7,2021-10-10,20,Florida (4-2),20,,,SEC (East)
7,2021-10-10,21,Texas A&M (4-2),,,,SEC (West)
7,2021-10-10,22,North Carolina State (4-1),23,1,,ACC (Atlantic)
7,2021-10-10,23,SMU (6-0),24,1,,American
7,2021-10-10,24,San Diego State (5-0),25,1,,MWC (West)
7,2021-10-10,25,Texas (4-2),21,4,,Big 12
6,2021-10-03,1,Alabama (5-0),1,,53,SEC (West)
6,2021-10-03,2,Georgia (5-0),2,,9,SEC (East)
6,2021-10-03,3,Iowa (5-0),5,2,,Big Ten (West)
6,2021-10-03,4,Penn State (5-0),4,,,Big Ten (East)
6,2021-10-03,5,Cincinnati (4-0),7,2,,American
6,2021-10-03,6,Oklahoma (5-0),6,,,Big 12
6,2021-10-03,7,Ohio State (4-1),11,4,,Big Ten (East)
6,2021-10-03,8,Oregon (4-1),3,5,,Pac-12 (North)
6,2021-10-03,9,Michigan (5-0),14,5,,Big Ten (East)
6,2021-10-03,10,BYU (5-0),13,3,,Ind
6,2021-10-03,11,Michigan State (5-0),17,6,,Big Ten (East)
6,2021-10-03,12,Oklahoma State (5-0),19,7,,Big 12
6,2021-10-03,13,Arkansas (4-1),8,5,,SEC (West)
6,2021-10-03,14,Notre Dame (4-1),9,5,,Ind
6,2021-10-03,15,Coastal Carolina (5-0),16,1,,Sun Belt (East)
6,2021-10-03,16,Kentucky (5-0),,,,SEC (East)
6,2021-10-03,17,Ole Miss (3-1),12,5,,SEC (West)
6,2021-10-03,18,Auburn (4-1),22,4,,SEC (West)
6,2021-10-03,19,Wake Forest (5-0),24,5,,ACC (Atlantic)
6,2021-10-03,20,Florida (3-2),10,10,,SEC (East)
6,2021-10-03,21,Texas (4-1),,,,Big 12
6,2021-10-03,22,Arizona State (4-1),,,,Pac-12 (South)
6,2021-10-03,23,North Carolina State (4-1),23,,,ACC (Atlantic)
6,2021-10-03,24,SMU (5-0),,,,American
6,2021-10-03,25,San Diego State (4-0),,,,MWC (West)
5,2021-09-26,1,Alabama (4-0),1,,58,SEC (West)
5,2021-09-26,2,Georgia (4-0),2,,4,SEC (East)
5,2021-09-26,3,Oregon (4-0),3,,,Pac-12 (North)
5,2021-09-26,4,Penn State (4-0),6,2,,Big Ten (East)
5,2021-09-26,5,Iowa (4-0),5,,,Big Ten (West)
5,2021-09-26,6,Oklahoma (4-0),4,2,,Big 12
5,2021-09-26,7,Cincinnati (3-0),8,1,,American
5,2021-09-26,8,Arkansas (4-0),16,8,,SEC (West)
5,2021-09-26,9,Notre Dame (4-0),12,3,,Ind
5,2021-09-26,10,Florida (3-1),11,1,,SEC (East)
5,2021-09-26,11,Ohio State (3-1),10,1,,Big Ten (East)
5,2021-09-26,12,Ole Miss (3-0),13,1,,SEC (West)
5,2021-09-26,13,BYU (4-0),15,2,,Ind
5,2021-09-26,14,Michigan (4-0),19,5,,Big Ten (East)
5,2021-09-26,15,Texas A&M (3-1),7,8,,SEC (West)
5,2021-09-26,16,Coastal Carolina (4-0),17,1,,Sun Belt (East)
5,2021-09-26,17,Michigan State (4-0),20,3,,Big Ten (East)
5,2021-09-26,18,Fresno State (4-1),22,4,,MWC (West)
5,2021-09-26,19,Oklahoma State (4-0),,,,Big 12
5,2021-09-26,20,UCLA (3-1),24,4,,Pac-12 (South)
5,2021-09-26,21,Baylor (4-0),,,,Big 12
5,2021-09-26,22,Auburn (3-1),23,1,,SEC (West)
5,2021-09-26,23,North Carolina State (3-1),,,,ACC (Atlantic)
5,2021-09-26,24,Wake Forest (4-0),,,,ACC (Atlantic)
5,2021-09-26,25,Clemson (2-2),9,16,,ACC (Atlantic)
4,2021-09-19,1,Alabama (3-0),1,,59,SEC (West)
4,2021-09-19,2,Georgia (3-0),2,,3,SEC (East)
4,2021-09-19,3,Oregon (3-0),4,1,,Pac-12 (North)
4,2021-09-19,4,Oklahoma (3-0),3,1,,Big 12
4,2021-09-19,5,Iowa (3-0),5,,,Big Ten (West)
4,2021-09-19,6,Penn State (3-0),10,4,,Big Ten (East)
4,2021-09-19,7,Texas A&M (3-0),7,,,SEC (West)
4,2021-09-19,8,Cincinnati (3-0),8,,,American
4,2021-09-19,9,Clemson (2-1),6,3,,ACC (Atlantic)
4,2021-09-19,10,Ohio State (2-1),9,1,,Big Ten (East)
4,2021-09-19,11,Florida (2-1),11,,,SEC (East)
4,2021-09-19,12,Notre Dame (3-0),12,,,Ind
4,2021-09-19,13,Ole Miss (3-0),17,4,,SEC (West)
4,2021-09-19,14,Iowa State (2-1),14,,,Big 12
4,2021-09-19,15,BYU (3-0),23,8,,Ind
4,2021-09-19,16,Arkansas (3-0),20,4,,SEC (West)
4,2021-09-19,17,Coastal Carolina (3-0),16,1,,Sun Belt (East)
4,2021-09-19,18,Wisconsin (1-1),18,,,Big Ten (West)
4,2021-09-19,19,Michigan (3-0),25,6,,Big Ten (East)
4,2021-09-19,20,Michigan State (3-0),,,,Big Ten (East)
4,2021-09-19,21,North Carolina (2-1),21,,,ACC (Coastal)
4,2021-09-19,22,Fresno State (3-1),,,,MWC (West)
4,2021-09-19,23,Auburn (2-1),22,1,,SEC (West)
4,2021-09-19,24,UCLA (2-1),13,11,,Pac-12 (South)
4,2021-09-19,25,Kansas State (3-0),,,,Big 12
3,2021-09-13,1,Alabama (2-0),1,,60,SEC (West)
3,2021-09-13,2,Georgia (2-0),2,,3,SEC (East)
3,2021-09-13,3,Oklahoma (2-0),4,1,,Big 12
3,2021-09-13,4,Oregon (2-0),12,8,,Pac-12 (North)
3,2021-09-13,5,Iowa (2-0),10,5,,Big Ten (West)
3,2021-09-13,6,Clemson (1-1),6,,,ACC (Atlantic)
3,2021-09-13,7,Texas A&M (2-0),5,2,,SEC (West)
3,2021-09-13,8,Cincinnati (2-0),7,1,,American
3,2021-09-13,9,Ohio State (1-1),3,6,,Big Ten (East)
3,2021-09-13,10,Penn State (2-0),11,1,,Big Ten (East)
3,2021-09-13,11,Florida (2-0),13,2,,SEC (East)
3,2021-09-13,12,Notre Dame (2-0),8,4,,Ind
3,2021-09-13,13,UCLA (2-0),16,3,,Pac-12 (South)
3,2021-09-13,14,Iowa State (1-1),9,5,,Big 12
3,2021-09-13,15,Virginia Tech (2-0),19,4,,ACC (Coastal)
3,2021-09-13,16,Coastal Carolina (2-0),17,1,,Sun Belt (East)
3,2021-09-13,17,Ole Miss (2-0),20,3,,SEC (West)
3,2021-09-13,18,Wisconsin (1-1),18,,,Big Ten (West)
3,2021-09-13,19,Arizona State (2-0),23,4,,Pac-12 (South)
3,2021-09-13,20,Arkansas (2-0),,,,SEC (West)
3,2021-09-13,21,North Carolina (1-1),24,3,,ACC (Coastal)
3,2021-09-13,22,Auburn (2-0),25,3,,SEC (West)
3,2021-09-13,23,BYU (2-0),,,,Ind
3,2021-09-13,24,Miami (FL) (1-1),22,2,,ACC (Coastal)
3,2021-09-13,25,Michigan (2-0),,,,Big Ten (East)
2,2021-09-07,1,Alabama (1-0),1,,59,SEC (West)
2,2021-09-07,2,Georgia (1-0),5,3,4,SEC (East)
2,2021-09-07,3,Ohio State (1-0),4,1,,Big Ten (East)
2,2021-09-07,4,Oklahoma (1-0),2,2,,Big 12
2,2021-09-07,5,Texas A&M (1-0),6,1,,SEC (West)
2,2021-09-07,6,Clemson (0-1),3,3,,ACC (Atlantic)
2,2021-09-07,7,Cincinnati (1-0),8,1,,American
2,2021-09-07,8,Notre Dame (1-0),9,1,,Ind
2,2021-09-07,9,Iowa State (1-0),7,2,,Big 12
2,2021-09-07,10,Iowa (1-0),18,8,,Big Ten (West)
2,2021-09-07,11,Penn State (1-0),19,8,,Big Ten (East)
2,2021-09-07,12,Oregon (1-0),11,1,,Pac-12 (North)
2,2021-09-07,13,Florida (1-0),13,,,SEC (East)
2,2021-09-07,14,USC (1-0),15,1,,Pac-12 (South)
2,2021-09-07,15,Texas (1-0),21,6,,Big 12
2,2021-09-07,16,UCLA (2-0),,,,Pac-12 (South)
2,2021-09-07,17,Coastal Carolina (1-0),22,5,,Sun Belt (East)
2,2021-09-07,18,Wisconsin (0-1),12,6,,Big Ten (West)
2,2021-09-07,19,Virginia Tech (1-0),,,,ACC (Coastal)
2,2021-09-07,20,Ole Miss (1-0),,,,SEC (West)
2,2021-09-07,21,Utah (1-0),24,3,,Pac-12 (South)
2,2021-09-07,22,Miami (FL) (0-1),14,8,,ACC (Coastal)
2,2021-09-07,23,Arizona State (1-0),25,2,,Pac-12 (South)
2,2021-09-07,24,North Carolina (0-1),10,14,,ACC (Coastal)
2,2021-09-07,25,Auburn (1-0),,,,SEC (West)
1,Preseason,1,Alabama,NA,—,47,SEC (West)
1,Preseason,2,Oklahoma,NA,—,6,Big 12
1,Preseason,3,Clemson,NA,—,6,ACC (Atlantic)
1,Preseason,4,Ohio State,NA,—,1,Big Ten (East)
1,Preseason,5,Georgia,NA,—,3,SEC (East)
1,Preseason,6,Texas A&M,NA,—,,SEC (West)
1,Preseason,7,Iowa State,NA,—,,Big 12
1,Preseason,8,Cincinnati,NA,—,,American
1,Preseason,9,Notre Dame,NA,—,,Ind
1,Preseason,10,North Carolina,NA,—,,ACC (Coastal)
1,Preseason,11,Oregon,NA,—,,Pac-12 (North)
1,Preseason,12,Wisconsin,NA,—,,Big Ten (West)
1,Preseason,13,Florida,NA,—,,SEC (East)
1,Preseason,14,Miami (FL),NA,—,,ACC (Coastal)
1,Preseason,15,USC,NA,—,,Pac-12 (South)
1,Preseason,16,LSU,NA,—,,SEC (West)
1,Preseason,17,Indiana,NA,—,,Big Ten (East)
1,Preseason,18,Iowa,NA,—,,Big Ten (West)
1,Preseason,19,Penn State,NA,—,,Big Ten (East)
1,Preseason,20,Washington,NA,—,,Pac-12 (North)
1,Preseason,21,Texas,NA,—,,Big 12
1,Preseason,22,Coastal Carolina,NA,—,,Sun Belt (East)
1,Preseason,23,Louisiana,NA,—,,Sun Belt (West)
1,Preseason,24,Utah,NA,—,,Pac-12 (South)
1,Preseason,25,Arizona State,NA,—,,Pac-12 (South)